Año,Código,Club,Ronda,Liga,Región,Década,SuperLiga,Ciudad,Población,PIB,País,Siglas,PIB_per_cap
2000,RMA,Real Madrid CF,4,Spain,Big 5,2000,1,Madrid,6791667,342534,Spain,ES,50
2000,VAL,Valencia CF,3,Spain,Big 5,2000,0,Valencia,1733606,58149,Spain,ES,33
2000,FCB,FC Barcelona,2,Spain,Big 5,2000,1,Barcelona,4985549,218318,Spain,ES,43
2000,BMN,FC Bayern,2,Germany,Big 5,2000,0,München,2883373,241407,Germany,DE,83
2000,LAZ,Lazio,1,Italy,Big 5,2000,0,Roma,4429025,215715,Italy,IT,48
2000,CHE,Chelsea FC,1,England,Big 5,2000,1,London,12434823,851738,United Kingdom,UK,68
2000,POR,FC Porto,1,Portugal,Small,2000,0,Porto,1272189,38974,Portugal,PT,30
2000,MNU,Manchester Utd FC,1,England,Big 5,2000,1,Manchester,3348274,136317,United Kingdom,UK,40
2001,BMN,FC Bayern,4,Germany,Big 5,2000,0,München,2883373,241407,Germany,DE,83
2001,VAL,Valencia CF,3,Spain,Big 5,2000,0,Valencia,1733606,58149,Spain,ES,33
2001,LEE,Leeds United,2,England,Big 5,2000,0,Leeds,792525,73267,United Kingdom,UK,92
2001,RMA,Real Madrid CF,2,Spain,Big 5,2000,1,Madrid,6791667,342534,Spain,ES,50
2001,MNU,Manchester Utd FC,1,England,Big 5,2000,1,Manchester,3348274,136317,United Kingdom,UK,40
2001,GAL,Galatasaray,1,Turkey,Small,2000,0,Istanbul,15462452,237000,Turkey,TR,15
2001,ARS,Arsenal FC,1,England,Big 5,2000,1,London,12434823,851738,United Kingdom,UK,68
2001,DEP,Deportivo Coruña,1,Spain,Big 5,2000,0,A Coruña,417452,6184,Spain,ES,14
2002,RMA,Real Madrid CF,3,Spain,Big 5,2000,1,Madrid,6791667,342534,Spain,ES,50
2002,LEV,Bayern Leverkusen,4,Germany,Big 5,2000,0,Ruhrgebiet,5113487,206526,Germany,DE,40
